0:0:0:0:0:0:0:1 - - [28/May/2019:10:42:00 +0900] "GET /edu/cssexam/exam1-1.html HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [28/May/2019:10:42:01 +0900] "GET /edu/cssexam/exam1-1.html HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [28/May/2019:10:42:11 +0900] "GET /edu/cssexam/exam1_1.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [28/May/2019:10:46:27 +0900] "GET /edu/cssexam/exam1_1.html HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [28/May/2019:10:49:31 +0900] "GET /edu/cssexam/exam1_1.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [28/May/2019:10:49:35 +0900] "GET /edu/cssexam/exam1_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:49:46 +0900] "GET /edu/cssexam/exam1_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:49:47 +0900] "GET /edu/cssexam/exam1_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:50:17 +0900] "GET /edu/cssexam/exam1_1.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [28/May/2019:10:51:35 +0900] "GET /edu/cssexam/exam1_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:51:36 +0900] "GET /edu/cssexam/exam1_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:51:36 +0900] "GET /edu/cssexam/exam1_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:51:54 +0900] "GET /edu/cssexam/exam1_1.html HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [28/May/2019:11:30:10 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [28/May/2019:11:30:10 +0900] "GET /edu/images/totoro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:13 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:13 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:13 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:13 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:14 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:14 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:14 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:14 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:14 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:15 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:35 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:41 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:42 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:32:42 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:33:13 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:33:58 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:07 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:09 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:10 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:10 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:10 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:10 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:10 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:10 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:11 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:11:34:11 +0900] "GET /edu/cssexam/exam2.html HTTP/1.1" 304 -
