70.12.113.172 - - [11/Jun/2019:14:30:50 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:30:50 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:31:15 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4792
70.12.113.172 - - [11/Jun/2019:14:31:15 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:31:51 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4795
70.12.113.172 - - [11/Jun/2019:14:31:53 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:32:16 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4797
70.12.113.172 - - [11/Jun/2019:14:32:17 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:32:17 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:32:18 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:33:03 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4801
70.12.113.172 - - [11/Jun/2019:14:33:03 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:33:10 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:33:10 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:33:11 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:33:11 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:33:14 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:33:14 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:33:20 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:33:21 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:33:23 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:33:24 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:33:52 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4792
70.12.113.172 - - [11/Jun/2019:14:33:53 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:35:46 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:35:47 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 10062
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn1.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn2.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn4.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn5.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn6.png HTTP/1.1" 404 1143
70.12.113.172 - - [11/Jun/2019:14:37:11 +0900] "GET /edu/bonobono/bn3.png HTTP/1.1" 404 1143
